"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 31-Mar-2022","30 D % CHNG 
 01-Mar-2023"
"NIFTY LARGEMIDCAP 250","9,555.95","9,637.00","9,554.10","9,500.90","9,618.90","118.00","1.24","1,149,523,771","429,302,984,794.95","10,513.10","8,318.55","-1.56","-0.70"
"LODHA","870.00","944.50","841.70","866.50","928.10","61.60","7.11","1,256,275","1,140,672,574.50","1,221.90","711.00","-21.19","-6.72"
"TRIDENT","26.40","28.20","26.35","26.25","28.00","1.75","6.67","16,795,270","463,381,499.30","57.40","25.05","-","-9.69"
"BEL","94.25","98.45","94.25","91.55","97.50","5.95","6.50","64,455,094","6,279,215,257.48","114.65","68.50","-54.65","0.88"
"NAUKRI","3,615.00","3,890.00","3,606.00","3,602.10","3,835.70","233.60","6.49","330,696","1,222,979,947.20","4,917.55","3,308.20","-19.03","6.26"
"AWL","401.95","405.85","399.05","386.55","405.85","19.30","4.99","4,081,988","1,652,184,643.00","878.00","327.25","-25.22","1.81"
"ADANIPOWER","190.45","191.60","188.65","182.50","191.60","9.10","4.99","7,735,789","1,480,243,225.15","432.50","132.40","-5.82","18.82"
"TTML","55.45","55.45","55.45","52.85","55.45","2.60","4.92","691,697","38,354,598.65","210.40","49.65","-68.31","-10.20"
"INDIGO","1,834.50","1,916.20","1,833.00","1,825.35","1,915.00","89.65","4.91","1,498,501","2,850,388,662.16","2,180.00","1,511.75","-4.40","3.09"
"GRINDWELL","1,814.00","1,897.70","1,785.65","1,813.65","1,895.00","81.35","4.49","52,636","96,826,553.80","2,328.35","1,451.00","3.95","3.74"
"MPHASIS","1,732.95","1,802.45","1,732.95","1,718.20","1,794.25","76.05","4.43","748,058","1,330,884,948.96","3,465.80","1,661.20","-46.30","-12.28"
"RELIANCE","2,255.00","2,343.45","2,254.70","2,234.70","2,330.95","96.25","4.31","13,001,005","30,107,207,338.80","2,856.15","2,180.00","-12.23","0.21"
"PATANJALI","925.65","971.65","925.40","925.40","965.00","39.60","4.28","510,695","491,886,103.15","1,495.00","714.50","-","1.94"
"MOTHERSON","65.40","67.20","64.80","64.55","67.15","2.60","4.03","14,838,386","984,526,911.10","97.53","61.80","-","-16.90"
"SKFINDIA","4,137.75","4,293.95","4,116.05","4,117.15","4,280.00","162.85","3.96","24,908","104,574,743.52","5,175.00","2,981.30","20.30","-4.52"
"COFORGE","3,694.00","3,824.40","3,680.05","3,660.35","3,804.00","143.65","3.92","276,488","1,043,653,723.84","4,605.00","3,210.05","-13.61","-10.25"
"GMRINFRA","39.40","40.70","39.15","39.20","40.55","1.35","3.44","12,953,895","519,969,345.30","44.30","31.75","4.24","5.05"
"IPCALAB","783.00","817.00","783.00","786.45","812.85","26.40","3.36","407,781","329,205,679.11","1,095.00","767.50","-21.13","0.65"
"HONAUT","35,350.00","36,678.60","35,172.55","35,236.55","36,400.05","1,163.50","3.30","6,924","250,531,784.40","44,347.15","30,185.35","-8.50","2.78"
"NESTLEIND","19,155.00","19,751.90","19,155.00","19,052.95","19,680.00","627.05","3.29","148,444","2,908,512,278.52","21,050.00","16,000.00","12.23","6.62"
"MANYAVAR","1,113.15","1,181.00","1,106.80","1,104.35","1,140.00","35.65","3.23","111,443","125,897,157.10","1,501.55","888.70","14.09","-5.35"
"PIIND","2,957.15","3,035.65","2,949.65","2,937.90","3,031.70","93.80","3.19","342,203","1,033,470,170.15","3,698.45","2,364.55","6.00","-1.87"
"LINDEINDIA","3,960.00","4,123.95","3,921.05","3,903.85","4,027.00","123.15","3.15","93,224","377,613,134.40","4,190.00","2,710.00","4.47","7.96"
"GLAXO","1,276.05","1,331.00","1,276.05","1,275.70","1,315.00","39.30","3.08","48,862","64,078,604.04","1,734.00","1,231.00","-20.11","-0.08"
"BANDHANBNK","192.00","197.80","191.00","189.90","195.75","5.85","3.08","15,449,908","3,005,007,106.00","349.55","182.15","-38.89","-16.45"
"NAM-INDIA","205.15","211.50","204.20","204.15","210.40","6.25","3.06","943,531","197,594,262.02","357.10","196.90","-37.87","-6.10"
"INFY","1,404.00","1,429.95","1,393.90","1,383.55","1,425.70","42.15","3.05","8,711,975","12,343,474,659.00","1,919.00","1,355.00","-24.98","-3.00"
"ICICIBANK","861.95","881.00","858.50","851.00","876.90","25.90","3.04","25,739,021","22,520,871,204.37","958.20","669.95","19.15","2.72"
"TRENT","1,336.00","1,389.00","1,336.00","1,335.85","1,376.50","40.65","3.04","675,734","922,782,350.40","1,566.00","982.85","8.40","7.00"
"AFFLE","965.00","989.50","962.20","960.40","989.50","29.10","3.03","305,049","298,462,992.09","1,369.00","871.55","-22.19","-2.06"
"ALKEM","3,312.70","3,414.35","3,296.30","3,300.30","3,399.30","99.00","3.00","248,234","838,738,003.88","3,724.95","2,828.00","-2.78","8.62"
"UNOMINDA","464.90","487.00","462.20","466.20","479.80","13.60","2.92","777,816","371,741,600.88","996.60","435.00","-","-3.99"
"APOLLOTYRE","313.10","321.00","312.00","311.50","320.50","9.00","2.89","2,701,524","860,867,637.84","343.05","167.10","63.46","1.90"
"TATAMOTORS","411.35","421.75","411.00","409.20","421.00","11.80","2.88","11,037,881","4,607,432,287.02","494.40","366.20","-4.61","0.08"
"BAYERCROP","4,040.00","4,110.00","4,010.40","3,996.80","4,109.00","112.20","2.81","19,359","78,306,380.64","5,667.75","3,920.45","-16.79","-3.82"
"TATAPOWER","188.50","191.60","187.95","185.50","190.70","5.20","2.80","13,519,886","2,573,239,902.38","298.05","182.35","-22.49","-7.47"
"BANKBARODA","166.25","169.80","165.90","164.45","169.00","4.55","2.77","28,240,603","4,755,152,733.14","197.20","89.85","45.56","2.55"
"LTIM","4,640.00","4,777.70","4,632.00","4,620.55","4,746.65","126.10","2.73","328,337","1,547,025,442.90","5,107.75","4,121.00","-","1.15"
"BLUEDART","6,103.00","6,279.95","6,010.00","6,080.65","6,240.00","159.35","2.62","16,827","102,890,037.66","9,640.00","5,725.50","-9.07","-1.66"
"DMART","3,325.00","3,415.00","3,325.00","3,325.45","3,411.00","85.55","2.57","286,361","971,797,553.21","4,609.00","3,186.00","-16.69","-1.22"
"M&MFIN","227.85","233.00","227.50","226.70","232.45","5.75","2.54","3,604,611","832,737,233.22","272.00","156.85","40.01","-8.28"
"MRF","82,422.00","84,444.00","82,088.25","82,012.00","84,050.00","2,038.00","2.49","5,856","489,230,443.20","96,000.00","64,701.45","26.41","-3.17"
